title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Herndon,VA,20171,"$644,990",697649,2700,0.39,"3 bds, 3.0 ba ,2498 sqft",RE/MAX Gateway,https://www.zillow.com/homedetails/0-00-Milling-Stone-Ter-1-Herndon-VA-20171/2082247445_zpid/
New construction,,Herndon,VA,20171,"$449,990",449991,,,"2 bds, 2.0 ba ,1275 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/2324-Wind-Charm-St-3-Herndon-VA-20171/2078594967_zpid/
New construction,,Herndon,VA,20171,"$610,715",610719,,,"2 bds, 2.0 ba ,1658 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/2329-Wind-Charm-St-108030-Herndon-VA-20171/2077716403_zpid/
Townhouse for sale,,Herndon,VA,20171,"$724,990",,,,"4 bds, 5.0 ba ,2508 sqft",RE/MAX Gateway,https://www.zillow.com/homedetails/0-Milling-Stone-Ter-Herndon-VA-20171/2080224787_zpid/
New construction,,Herndon,VA,20171,"$574,990",574991,,,"2 bds, 2.0 ba ,1658 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/2324-Wind-Charm-St-5-Herndon-VA-20171/2078594344_zpid/
New construction,,Herndon,VA,20171,"$504,990",504991,,,"2 bds, 2.0 ba ,1515 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/2324-Wind-Charm-St-6-Herndon-VA-20171/2078593422_zpid/
New construction,,Herndon,VA,20171,"$489,990+",426045,,,"2 bds, 2.0 ba ,1451 sqft",Pulte Homes,https://www.zillow.com/community/metropark-at-arrowbrook/2079829164_zpid/
New construction,,Herndon,VA,20171,"$489,990",489991,,,"2 bds, 2.0 ba ,1451 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/2324-Wind-Charm-St-2-Herndon-VA-20171/2078594965_zpid/
New construction,,Herndon,VA,20171,"$574,990+",452742,,,"2 bds, 2.0 ba ,1658 sqft",Pulte Homes,https://www.zillow.com/community/metropark-at-arrowbrook/2079829163_zpid/
New construction,,Herndon,VA,20171,"$529,990+",435813,,,"2 bds, 2.0 ba ,1495 sqft",Pulte Homes,https://www.zillow.com/community/metropark-at-arrowbrook/2079829160_zpid/
New construction,,Herndon,VA,20171,"$567,440",601479,,,"2 bds, 2.0 ba ,1469 sqft",Pulte Homes,https://www.zillow.com/homedetails/2329-Wind-Charm-St-UNIT-304-Herndon-VA-20171/2078378819_zpid/
New construction,,Herndon,VA,20171,"$562,840",616392,,,"2 bds, 2.0 ba ,1495 sqft",Pulte Homes,https://www.zillow.com/homedetails/2329-Wind-Charm-St-201-Herndon-VA-20171/2080064579_zpid/
New construction,,Herndon,VA,20171,"$563,740",563742,,,"2 bds, 2.0 ba ,1515 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/2329-Wind-Charm-St-40703-Herndon-VA-20171/2079229929_zpid/
New construction,,Herndon,VA,20171,"$504,990+",444873,,,"2 bds, 2.0 ba ,1515 sqft",Pulte Homes,https://www.zillow.com/community/metropark-at-arrowbrook/2079829165_zpid/
New construction,,Herndon,VA,20171,"$524,990+",425316,,,"2 bds, 2.0 ba ,1469 sqft",Pulte Homes,https://www.zillow.com/community/metropark-at-arrowbrook/2079829159_zpid/
New construction,,Herndon,VA,20171,"$529,990",529991,,,"2 bds, 2.0 ba ,1495 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/2324-Wind-Charm-St-1-Herndon-VA-20171/2078597059_zpid/
New construction,,Herndon,VA,20171,"$567,240",567245,,,"2 bds, 2.0 ba ,1469 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/2329-Wind-Charm-St-30403-Herndon-VA-20171/2078112230_zpid/
